tt0000001,1,Carmencita - spanyol tánc,HU,\N,imdbDisplay,\N,0
tt0000001,5,Carmencita,\N,\N,original,\N,1
tt0000002,2,A bohóc és kutyái,HU,\N,imdbDisplay,\N,0
tt0000002,4,Clovnul si cainii sai,RO,\N,imdbDisplay,\N,0
tt0000002,6,The Clown and His Dogs,US,\N,\N,literal English title,0
tt0000003,2,Szegény Pierrot,HU,\N,imdbDisplay,\N,0
tt0000003,4,Pauvre Pierrot,\N,\N,original,\N,1
tt0000003,6,Pauvre Pierrot,FR,\N,\N,\N,0
tt0000004,2,Un ?ap de bere,RO,\N,\N,\N,0
tt0000004,6,Egy jó pohár sör,HU,\N,imdbDisplay,\N,0
tt0000005,4,Blacksmith Scene #1,US,\N,alternative,\N,0
tt0000005,6,A patkolókovács,HU,\N,imdbDisplay,\N,0
tt0000005,8,Blacksmith Scene,\N,\N,original,\N,1
tt0000006,3,Chinese Opium Den,US,\N,\N,\N,0
tt0000006,5,Chinese Opium Den,\N,\N,original,\N,1
tt0000007,2,Corbett and Courtney Before the Kinetograph,\N,\N,original,\N,1
tt0000007,4,The Corbett-Courtney Fight,US,\N,alternative,\N,0
tt0000007,6,Edison Kinetoscopic Record of Boxers,\N,\N,\N,\N,0
tt0000008,1,Edison asszisztense tüsszent,HU,\N,imdbDisplay,\N,0
tt0000008,3,Edison Kinetoscopic Record of a Sneeze,US,\N,\N,\N,0
tt0000009,1,Miss Jerry,\N,\N,original,\N,1
tt0000009,3,Miss Jerry,US,\N,\N,\N,0
tt0000010,11,La Salida De Los Obreros De La Fábrica Lumière,ES,\N,\N,literal translation of working title,0
tt0000010,13,La sortie des ouvriers de l'usine Lumière,FR,\N,\N,informal alternative title,0
tt0000010,15,L'uscita dalle fabbriche Lumière,IT,\N,imdbDisplay,\N,0
tt0000010,17,Työntekijät poistuvat Lumière-tehtaalta,FI,\N,\N,informal title,0
tt0000010,1,Wyjscie robotników z fabryki,PL,\N,\N,\N,0
tt0000010,3,Leaving the Lumière Factory,\N,\N,\N,\N,0
tt0000010,5,Exiting the Factory,US,\N,\N,\N,0
tt0000010,7,Employees Leaving the Lumière Factory,US,\N,\N,\N,0
tt0000010,9,La sortie de l'usine Lumière à Lyon,FR,\N,\N,poster title,0
tt0000011,2,Akrobatisches Potpourri,\N,\N,original,\N,1
tt0000012,10,A Chegada de um Trem à Estação,BR,\N,imdbDisplay,\N,0
tt0000012,12,Tåget anländer till stationen,FI,sv,\N,informal title,0
tt0000012,14,Juna saapuu asemalle,FI,\N,\N,informal title,0
tt0000012,16,A vonat érkezése,HU,\N,imdbDisplay,\N,0
tt0000012,18,La llegada de un tren a la estación de la ciotat,ES,\N,\N,informal title,0
tt0000012,1,L'arrivée du train en gare de La Ciotat,FR,\N,\N,\N,0
tt0000012,21,The Arrival of a Train,XEU,en,imdbDisplay,\N,0
tt0000012,2,The Arrival of a Train,GB,\N,imdbDisplay,\N,0
tt0000012,4,Przyjazd pociagu na stacje,PL,\N,\N,\N,0
tt0000012,6,L'arrivée d'un train à La Ciotat,\N,\N,original,\N,1
tt0000012,8,The Arrival of the Mail Train,\N,\N,\N,\N,0
tt0000013,10,Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon,FR,\N,\N,\N,0
tt0000013,1,A kongresszus tagjainak partraszállása,HU,\N,imdbDisplay,\N,0
tt0000013,3,Promenade des congressistes sur le bord de la Saône,\N,\N,\N,\N,0
tt0000013,5,Le débarquement du congrès de photographie à Lyon,FR,\N,alternative,\N,0
tt0000013,7,The Photographical Congress Arrives in Lyon,US,\N,\N,\N,0
tt0000013,9,Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon,\N,\N,original,\N,1
tt0000014,11,L'arroseur arrosé,FR,\N,\N,\N,0
tt0000014,13,The Waterer Watered,US,\N,\N,\N,0
tt0000014,15,Pokropený kropic,CZ,\N,imdbDisplay,\N,0
tt0000014,17,Trädgårsmästarn,FI,sv,\N,\N,0
tt0000014,19,The Sprayer Sprayed,\N,\N,\N,\N,0
tt0000014,3,Gartneren vandes,DK,\N,\N,\N,0
tt0000014,5,A megöntözött öntöz?,HU,\N,\N,\N,0
tt0000014,7,Le jardinier,FR,\N,\N,première title,0
tt0000014,9,L'innaffiatore annaffiato,IT,\N,\N,\N,0
tt0000015,2,Egy kabin körül,HU,\N,imdbDisplay,\N,0
tt0000015,4,Autour d'une cabine,FR,\N,\N,\N,0
tt0000016,1,Boat Leaving the Port,XWW,en,\N,informal title,0
tt0000016,5,La sortie du port,\N,\N,\N,\N,0
tt0000016,7,Barque sortant du port,FR,\N,\N,\N,0
tt0000016,9,Båten lämnar hamnet,FI,sv,\N,informal title,0
tt0000017,2,Bauerntanz zweier Kinder,DE,\N,\N,bowdlerized title,0
tt0000017,4,Italienischer Bauerntanz,DE,\N,\N,\N,0
tt0000018,2,Cangurul boxer,RO,\N,imdbDisplay,\N,0
tt0000019,1,The Clown Barber,GB,\N,\N,\N,0
tt0000022,1,The Blacksmiths,US,\N,\N,literal English title,0
tt0000022,5,Blacksmith Scene,US,\N,\N,\N,0
tt0000022,7,Blacksmiths at Work,GB,\N,\N,informal English title,0
tt0000023,11,Baignade en mer,FR,\N,\N,\N,0
tt0000023,1,Meri,FI,\N,\N,informal title,0
tt0000023,3,Sea Bathing,GB,\N,\N,informal title,0
tt0000023,5,La mer,\N,\N,\N,\N,0
tt0000023,7,Meri ihmeellisine kylpykuvauksineen,FI,\N,\N,\N,0
tt0000023,9,Baignade en mer,\N,\N,original,\N,1
tt0000024,2,Eroffnung des Nordostsee Kanals,DE,\N,imdbDisplay,\N,0
tt0000024,4,A Kieli-csatorna megnyitása,HU,\N,imdbDisplay,\N,0
tt0000025,1,The Oxford and Cambridge University Boat Race,GB,\N,\N,\N,0
tt0000026,11,Kortspelet,FI,sv,\N,informal title,0
tt0000026,2,Card Game,\N,\N,\N,\N,0
tt0000026,4,Game of Cards,GB,\N,\N,informal English title,0
tt0000026,6,Kártyaparti,HU,\N,imdbDisplay,\N,0
tt0000026,8,Partie d'écarté,\N,\N,original,\N,1
tt0000027,1,Cordeliers' Square in Lyon,US,\N,\N,\N,0
tt0000027,3,Place des Cordeliers à Lyon,FR,\N,\N,\N,0
tt0000027,5,"Cordeliers Square, Lyons, France",GB,\N,\N,informal English title,0
